,artist,track,track_uri
272,Rich Boy,Drop,spotify:track:2ydFInU4v5BwVwzI0XHLB1
273,JC featuring Yung Joc,Vote 4 Me,spotify:track:62ttMFG4vm8gHtp70XV3pi
274,Cali Swag District,Teach Me How to Dougie,spotify:track:61LtVmmkGr8P9I2tSPvdpf
275,Aaliyah,Try Again,spotify:track:52IKUZIr66lMvy7COxmG9x
276,Billy Preston,Nothing from Nothing,spotify:track:72PoJMDfdaw9gGECgA9kTZ
277,Rancid,Ruby Soho,spotify:track:1pNlZQeoPnlxqf1Mjgm0H2
278,Whodini,I'm a Ho,spotify:track:4nyF5lmSziBAt7ESAUjpbx
279,Nine Inch Nails,"Closer"" (portion sampled samples ""Night Clubbing"" by Iggy Pop)",spotify:track:7BKLCZ1jbUBVqRi2FVlTVw
280,Swizz Beatz featuring Bounty Killer,Guilty,spotify:track:6XHVuErjQ4XNm6nDPVCxVX
281,50 Cent,Window Shopper,spotify:track:1bevrs76fdGW3y03R5q6GB
282,E-40 featuring Shawty Lo,Break Ya Ankles,spotify:track:4kV4N9D1iKVxx1KLvtTpjS
283,Cassidy featuring Swizz Beatz,B-Boy Stance,spotify:track:2hsEDLdTtIr1oorMA5mydf
284,Nas,Got Ur Self A…,spotify:track:09wQdd0JQbkp9yKfRfwhjG
285,Nicki Minaj,Your Love,spotify:track:1w6kG4Rc29m5EherbvpkF5
286,V.I.C.,Wobble,spotify:track:6JLcz9UGiVxAmEZXlCucn5
287,T'Pau,Heart and Soul,spotify:track:3FAJ6O0NOHQV8Mc5Ri6ENp
288,Rob Base and DJ E-Z Rock,Joy and Pain,spotify:track:1GkHyypTFkUf0QQKwYoXH4
289,Diddy-Dirty Money featuring Rick Ross and Nicki Minaj,Hello Good Morning (Remix),spotify:track:2uAbEJGrLecIbkW9p3OqQl
290,N.W.A,"Straight Outta Compton"" (portion sampled samples ""Get Me Back on Time, Engine #9"" by Wilson Pickett)",spotify:track:6KIKRz9eSTXdNsGUnomdtW
291,Billy Squier,The Big Beat,spotify:track:1kGb78PHGlylL7s9Nw79Si
292,The Clash,Should I Stay or Should I Go,spotify:track:39shmbIHICJ2Wxnk1fPSdz
293,Cream,Sunshine of Your Love,spotify:track:2K2M0TcglCRLLpFOzKeFZA
294,Kesha,Tik Tok,spotify:track:0HPD5WQqrq7wPWR7P7Dw1i
295,Daft Punk,Television Rules the Nation,spotify:track:1E8S3CSv20KrKT0C1yAjkO
296,Steve Miller Band,Jungle Love,spotify:track:1EuqRlDP9RuzeCRVcjr1PY
297,Depeche Mode,Just Can't Get Enough,spotify:track:0xuXRQJfxmdP6gvfDe2Z4L
298,Katy Perry featuring Snoop Dogg,California Gurls,spotify:track:40riOy7x9W7GXjyGp4pjAv
299,Free School featuring Kelis and apl.de.ap,Grey Goose (Whatcha Sippin' On),spotify:track:1suveZdpFS6YX2x8WF2LLz
300,Belinda Carlisle,Heaven Is a Place on Earth,spotify:track:58mFu3oIpBa0HLNeJIxsw3
301,Janet Jackson,Someone to Call My Lover,spotify:track:43zr9kKkeiQrshvYuvNtfM
302,MSTRKRFT featuring N.O.R.E.,Bounce,spotify:track:1tkg4EHVoqnhR6iFEXb60y
303,Shorty Long,Function at the Junction,spotify:track:28XwCRRmoFTPHpryWVyZaj
304,Duke Williams and the Extremes,Chinese Chicken,spotify:track:0uBKQ0btVl63xx2XY7ncz9
305,2 Live Crew,Get It Girl,spotify:track:7DEpSeyiupvwY5tB8Yqbhh
306,Young Dro featuring T.I. and Gucci Mane,Freeze Me,spotify:track:4wVOKKEHUJxHCFFNUWDn0B
307,Ginuwine,Pony,spotify:track:6mz1fBdKATx6qP4oP1I65G
308,Yeah Yeah Yeahs,Heads Will Roll,spotify:track:2idmlkd8oUaQvYEtINpLBX
309,The Ting Tings,That's Not My Name,spotify:track:2DNdEpV9UnsYjL6w1Dp1aS
310,J. Cole,Blow Up,spotify:track:7JuHVG3qQKQKxC4doneXVW
311,J-Kwon,Yeah,spotify:track:5kpkvhvo5zrkYenTKyiy8b
312,George Harrison,Got My Mind Set on You,spotify:track:3OeUlriM0EZHdWleJtjoVr
313,Three 6 Mafia,Who Run It,spotify:track:0LeJruSnMGjIQ1PlFuRHmX
314,Diamond,Lotta Money,spotify:track:4nlqHMqyQn8upOmyM36o9b
315,Public Enemy,Bring the Noise,spotify:track:6jg8Y7gArYgZeXUBPMre0V
316,The Young Rascals,Good Lovin',spotify:track:0XnhQGfqfi5CnZXcONJuI5
317,T-No featuring Slick Rick,Fucked Up,spotify:track:7AQim7LbvFVZJE3O8TYgf2
318,Lil Wil,Bust It Open,spotify:track:7dJTX26gYEl9eYwSN44IbL
319,Jane's Addiction,Jane Says,spotify:track:7c1Dar0pIAW7w5TzaGjt9t
320,Trina featuring Killer Mike,Look Back at Me,spotify:track:3Ol2xnObFdKV9pmRD2t9x8
321,Fabolous featuring Nate Dogg,Can't Deny It,spotify:track:7idmHTAQQPUFqdjXkoooXD
322,DJ Amaze,I Wanna Rock,spotify:track:5FVd6KXrgO9B3JPmC8OPst
323,50 Cent,Get Up,spotify:track:4lyphUu7lt4KKuf8jZKjjh
324,Swizz Beatz,It's Me Bitches,spotify:track:6wCJ3VezXBqYboAruJoAd4
325,LL Cool J,Jingling Baby (Remixed But Still Jingling),spotify:track:4d7jMI076XkbM1Upwhh6rC
326,"The Notorious B.I.G. featuring Diddy, Nelly, Jagged Edge, and Avery Storm",Nasty Girl,spotify:track:1uNePI826aqh9uC9pgbeHU
327,The Notorious B.I.G.,Nasty Boy,spotify:track:4GIsskMpViPkt0uzPJTJSp
328,"Trina featuring Kase, Deuce Poppi and Trick Daddy",Pull Over (Remix),spotify:track:6M33HiUHLC3R3gfXYNGMAy
329,Jibbs featuring Lloyd,The Dedication (Ay DJ),spotify:track:1mFrjW8e8fuAOowlU3Q3Dr
330,DJ Laz featuring Flo Rida and Casely,Move Shake Drop,spotify:track:2SGBEDwsOAOAHrrdAd304i
331,Black Box,Everybody Everybody,spotify:track:6wBMTv8yTiNh50fqTkT0JC
332,Dennis Coffey and the Detroit Guitar Band,Scorpio,spotify:track:1P8lIrb4yLlg1nzAjhhcfi
333,Basement Jaxx,Where's Your Head At?,spotify:track:3cJh89D0za2SW705fNBo3b
334,Jordan Knight,Give It to You,spotify:track:6xNnPtnmqpktZLFkgT21u7
335,Travis Porter,Go Shorty Go,spotify:track:39shmbIHICJ2Wxnk1fPSdz
336,John Lennon,Imagine,spotify:track:7pKfPomDEeI4TPT6EOYjn9
337,David Banner featuring Chris Brown,Get Like Me,spotify:track:1EJIcDYXwSqipW5dFe4uJz
338,Kid Cudi featuring Kanye West and Common,"Make Her Say"" (portion sampled samples ""In the Morning Time"" by Tramaine)",spotify:track:7dZAPeA3Of5j5Vaef0DQ6M
339,Diddy featuring Christina Aguilera,Tell Me,spotify:track:6tDDoYIxWvMLTdKpjFkc1B
340,Marva Whitney,Unwind Yourself,spotify:track:0h7pMUK2EKEj7E4gGvhDO5
341,"Krave featuring Flo Rida, Pitbull, and Lil Jon",Go Crazy,spotify:track:2Y0wPrPQBrGhoLn14xRYCG
342,T.I.,Rubberband Man,spotify:track:6jN49cPLhJxsIUaoJ0yroP
343,Rosalind Rice featuring French Montana,Hustler,spotify:track:5ErtQGRKEibK2WHaA729O8
344,The Edgar Winter Group,Frankenstein,spotify:track:2l0Z9fY1E8Bep8opmhmDhq
345,DMX featuring Sheek Louch,Get at Me Dog,spotify:track:1OKQIvaO7yn7R2BpdUFG7D
