,artist,track,track_uri
59,The Grass Roots,Let's Live for Today,spotify:track:4UteAW3ZmZaB2Ru3FjB0dp
60,Run-D.M.C.,It's Tricky,spotify:track:6jBCehpNMkwFVF3dz4nLIW
61,Derek and the Dominos,Layla,spotify:track:2kkvB3RNRzwjFdGhaUA0tz
62,Mandrill,Honey Butt,spotify:track:6FfLg6FFqhCsrFOaHIGkg0
63,Alanis Morissette,You Oughta Know,spotify:track:3jS7bB0oXVOwGFZn3aE5NV
64,Warrant,Cherry Pie,spotify:track:7LygtNjQ65PSdzVjUnHXQb
65,Michael Jackson,Black or White,spotify:track:2Cy7QY8HPLk925AyNAt6OG
66,Flo Rida featuring Kesha,Right Round,spotify:track:5x4yVR0yeU4SdryNCxyxgb
67,Crystal Waters,Gypsy Woman (She's Homeless),spotify:track:1SShxVVBeZBCY7WddnksPz
68,Madness,Our House,spotify:track:1qV6e4ITnfGmA6m6Vklvbi
69,Pitbull featuring Lil Jon,Krazy,spotify:track:5knxa9j29AigAUHKxnB7m5
70,The Rapture,House of Jealous Lovers,spotify:track:0MrkkxbgfHfbxrTg12oHd4
71,Billy Idol,Mony Mony,spotify:track:3GfGTJ2xzC0rqKgdjNJLOC
72,Ghost Town DJ's,My Boo,spotify:track:4c0rkFPszqQTyC753tsCMU
73,Rick Ross featuring Styles P,B.M.F. (Blowin' Money Fast),spotify:track:35QGdv6aFbIaLM0Ozr3rHt
74,B.o.B featuring T.I. and Playboy Tre,Bet I,spotify:track:2etHQJxIbV0soyPhelVs9Y
75,Mr. Oizo,Flat Beat,spotify:track:5jaVyz2GDdesyu01cBbOSc
76,Arcade Fire,Wake Up,spotify:track:6Hmj7SrLRbreLVfVS7mV1S
77,Baby Bash featuring Lloyd,Good for My Money,spotify:track:6PERP62TejQjgHu81OHxgM
78,Radiohead,Idioteque,spotify:track:1W5XugQJGhnSATMI5n002M
79,Travis Porter,Go Shorty Go,spotify:track:39shmbIHICJ2Wxnk1fPSdz
80,Usher featuring Nicki Minaj,Lil Freak,spotify:track:65OVbaJR5O1RmwOQx0875b
81,Young T featuring Treal Lee,Work Dat Lumba,spotify:track:0s1aSsYlLIEiy16LjFWbdp
82,Bruce Springsteen,Dancing in the Dark,spotify:track:7FwBtcecmlpc1sLySPXeGE
83,2Pac,Me Against the World,spotify:track:76wJIkA63AgwA92hUhpE2V
84,OutKast,B.O.B.,spotify:track:3WibbMr6canxRJXhNtAvLU
85,Phoenix,1901,spotify:track:3FM33HqRlV7J1QJoPOnd2u
86,Ludacris featuring Nicki Minaj,My Chick Bad,spotify:track:3bMNprrp2JDKZsGbiXpsJl
87,Phoenix,1901,spotify:track:3FM33HqRlV7J1QJoPOnd2u
88,Keri Hilson featuring Lil Wayne,Turnin' Me On,spotify:track:2kfGoV9a5dbSKCNmUWH2ZF
89,Blondie,Dreaming,spotify:track:2Rn7bVL1FVYboc4c55RUdg
90,Lil Wayne,A Milli,spotify:track:6ScJMrlpiLfZUGtWp4QIVt
91,Crooked I,Everythang,spotify:track:4HgXXIHhZJRSknnsjKZD0o
92,Lil Jon featuring E-40 and Sean Paul,Snap Yo Fingers,spotify:track:1tkMs9wDPknQ3ZHcKDw1ES
93,Ice Cube,It Was a Good Day,spotify:track:2qOm7ukLyHUXWyR4ZWLwxA
94,"Drake featuring Kanye West, Lil Wayne and Eminem",Forever,spotify:track:2TOzTqQXNmR2zDJXihjZ2e
95,The Bangz featuring New Boyz,Found My Swag,spotify:track:5zT5cMnMKoyruPj13TQXGx
96,The Rolling Stones,"Paint It, Black",spotify:track:63T7DJ1AFDD6Bn8VzG6JE8
97,Van Halen,Jump,spotify:track:7N3PAbqfTjSEU1edb2tY8j
98,Fine Young Cannibals,Good Thing,spotify:track:6lRkdG1HurVS72F9GoBeWJ
99,Gucci Mane,Making Love to the Money,spotify:track:5xN4y32h1KWhHtHaBzsGEQ
100,Darude,Sandstorm,spotify:track:24CXuh2WNpgeSYUOvz14jk
101,Gloria Estefan and Miami Sound Machine,Words Get in the Way,spotify:track:3AloB0Mg11pjqmUvjKfahn
102,Jay-Z,Dirt Off Your Shoulder,spotify:track:3IrkbGQCoEPAkzJ0Tkv8nm
103,Gucci Mane,I'm the Shit,spotify:track:3f3HHRPF5vAo90GwdpDMaQ
104,2Pac featuring K-Ci & JoJo,How Do U Want It,spotify:track:1ZB2zIoc8AjSuyqKRcJgbO
105,Jay-Z,99 Problems,spotify:track:7sLpSWxQazJzDVG6YGzlVs
106,Ludacris featuring Mystikal and I-20,Move Bitch,spotify:track:6ZLhGpQchKoYBpqFbH6IYS
107,N.W.A,"Express Yourself"" (portion sampled samples ""Express Yourself"" by Charles Wright & the Watts 103rd Street Rhythm Band)",spotify:track:52IuMfbQa9aqRPz2oYPAI8
108,The Brothers Johnson,Strawberry Letter 23,spotify:track:00kvKlIvfzQLSi6T2zwXuS
109,Ramones,Blitzkrieg Bop,spotify:track:4KcH1ZRV2W1q7Flq0QqC76
110,Bun B featuring Webbie and Juvenile,Pop It 4 Pimp,spotify:track:6LcnvbHMT0qZDKZuUZaqt2
111,Citizen King,"Better Days (And the Bottom Drops Out)"" (portion sampled samples ""Eric B. Is President"" by Eric B. & Rakim)",spotify:track:460Wn6Dq2uMviG5nPXtPnb
112,Juicy J featuring Project Pat,Twerk,spotify:track:2Ty7EDf9XLYzEUqEIwJfDC
113,"Craig Mack featuring The Notorious B.I.G., Mack, Rampage, LL Cool J and Busta Rhymes",Flava in Ya Ear (Remix),spotify:track:5PbFD3AIyunz5HxocduA9e
114,Jim Jones and Ron Browz featuring Juelz Santana,Pop Champagne,spotify:track:5CFJRZRq6sdKKtRwNPWbYv
115,Rihanna featuring Young Jeezy,Hard,spotify:track:2tGvwE8GcFKwNdAXMnlbfl
116,Wale featuring Gucci Mane,Pretty Girls,spotify:track:0KyAGiNGUytG5JLxJu4F6l
117,Deftones,Around the Fur,spotify:track:3Fwe3XoPOiyWUPYdBKMTqV
118,Fugazi,Waiting Room,spotify:track:5FFowl1Ve4S5OehL6OywSg
119,Boogie Down Productions,"South Bronx"" (portion sampled samples ""Get Up Offa That Thing"" by James Brown)",spotify:track:6JMIaVMbh5emijDiBODgit
120,Jay-Z featuring Swizz Beatz,On to the Next One,spotify:track:6l9JX2Rd0GvjgMqlVdYE4o
121,Peter Gabriel,In Your Eyes,spotify:track:4qN7nSAVTjPfOOz0wkRQpM
122,Spacehog,"In the Meantime"" (portion sampled samples ""Telephone and Rubber Band"" by Penguin Cafe Orchestra)",spotify:track:02lTDOxHeXTHsdwXoz6lpC
123,MC Shan,"The Bridge"" (portion sampled samples ""Impeach the President"" by The Honey Drippers)",spotify:track:3d9DChrdc6BOeFsbrZ3Is0
124,Whodini,Friends,spotify:track:2GLDYbNCRgsZTBhrBqhdm0
125,Miley Cyrus,Party in the U.S.A.,spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1
126,Naughty by Nature,Everything's Gonna Be Alright,spotify:track:1KYzOVIcp7Oe6FTuIvHrpz
127,Big Boi featuring Cutty,Shutterbugg,spotify:track:0LDFH1WLQ6NPEMH556LUGs
128,50 Cent,Disco Inferno,spotify:track:69bHJ9qs5FrUJbKP8xU8uZ
129,Skee-Lo,I Wish,spotify:track:3LklW07tvdx2AHsgfi1Mng
130,Janet Jackson,Love Will Never Do (Without You),spotify:track:1SkJ8HjZUZRPYT3R2rh5sA
131,New Edition,If It Isn't Love,spotify:track:7JmPqImeW3kLoYVNBA9v11
132,Radiohead,Creep,spotify:track:70LcF31zb1H0PyJoS1Sx1r
133,Prince & the New Power Generation,Gett Off,spotify:track:7h1ORpjTON2WXzu4BVOJBL
134,Iggy Pop,Lust for Life,spotify:track:21YxK0klhpfLW8budkJaMF
135,Herbie Hancock,Rockit,spotify:track:2nWHzbBWBOePUvAImQv2So
136,Justin Timberlake,SexyBack,spotify:track:0O45fw2L5vsWpdsOdXwNAR
137,Lil' Kim featuring Mr. Cheeks,The Jump Off,spotify:track:4VXIryQMWpIdGgYR4TrjT1
138,Gang Starr featuring Nice & Smooth,DWYCK,spotify:track:5AebNkVaY2zcdNFCqPBIV7
139,2 Live Crew,Banned in the U.S.A.,spotify:track:3gMPNy3Zh3PVL14Or88bCc
140,B.o.B featuring Bruno Mars,Nothin' on You,spotify:track:7JJmb5XwzOO8jgpou264Ml
141,Method Man & Redman,Tear It Off,spotify:track:37BZB0z9T8Xu7U3e65qxFy
142,DJ Jubilee,"Get Ready, Ready!",spotify:track:4XrFr9p6gBeM0qHHbXMM4O
143,Lil Jon and the East Side Boyz featuring Ying Yang Twins,Get Low,spotify:track:2ajUxpHW8NJWV6LnbhaZTI
144,Fabolous,Young'n (Holla Back),
145,"The Notorious B.I.G. featuring Diddy, Nelly, Jagged Edge, and Avery Storm",Nasty Girl,spotify:track:1uNePI826aqh9uC9pgbeHU
146,Pet Shop Boys,Opportunities (Let's Make Lots of Money),spotify:track:0apB2QDN7ZrE91yDmw5JsY
